Employee_ID,Age,Career_Stage,Skills,Training_Participation,Certifications,Performance_Metrics,Skill_Gaps
1557,18,Senior,5G,473,0,0.166791126,5G
1558,30,Entry-Level,Leadership,553,3,0.661780003,Leadership
1559,24,Entry-Level,Leadership,178,3,0.025805416,AI/ML
1560,38,Entry-Level,AI/ML,148,3,0.69383464,AI/ML
1561,18,Senior,Leadership,218,0,0.833918485,Cybersecurity
1562,53,Entry-Level,Leadership,238,2,0.118947047,5G
1563,58,Entry-Level,AI/ML,540,4,0.679361247,AI/ML
1564,30,Mid-Career,Cybersecurity,519,1,0.635889308,Leadership
1565,54,Mid-Career,Leadership,431,3,0.422434081,Cybersecurity
1566,41,Mid-Career,5G,228,3,0.176737804,AI/ML
1567,28,Mid-Career,Leadership,480,0,0.865804905,Leadership
1568,55,Entry-Level,Cybersecurity,218,4,0.935074119,5G
1569,40,Senior,Cybersecurity,170,2,0.276488132,Cybersecurity
1570,47,Mid-Career,5G,107,4,0.582942448,5G
1571,18,Mid-Career,AI/ML,228,0,0.704389784,Cybersecurity
1572,53,Entry-Level,AI/ML,72,2,0.578625151,AI/ML
1573,19,Entry-Level,AI/ML,398,2,0.786733683,5G
1574,38,Mid-Career,AI/ML,534,2,0.033230372,Leadership
1575,29,Mid-Career,AI/ML,529,1,0.876005333,AI/ML
1576,38,Entry-Level,Cybersecurity,266,0,0.963655999,Leadership
1577,27,Entry-Level,Cybersecurity,136,3,0.644385538,AI/ML
1578,38,Mid-Career,5G,270,2,0.048824851,5G
1579,43,Mid-Career,Leadership,391,2,0.090029522,5G
1580,30,Entry-Level,Leadership,300,0,0.841676888,AI/ML
1581,23,Senior,Cybersecurity,427,2,0.645207951,Cybersecurity
1582,25,Senior,Leadership,33,0,0.497847143,Cybersecurity
1583,55,Mid-Career,Leadership,497,3,0.847471609,5G
1584,25,Mid-Career,Leadership,279,1,0.495985603,5G
1585,37,Entry-Level,AI/ML,334,4,0.964516234,Leadership
1586,57,Mid-Career,Leadership,107,1,0.535187307,5G
1587,30,Senior,5G,358,0,0.635133808,Leadership
1588,27,Mid-Career,5G,442,0,0.67281569,Cybersecurity
1589,54,Mid-Career,Cybersecurity,230,1,0.602911186,Cybersecurity
1590,59,Senior,Leadership,0,1,0.618294589,Cybersecurity
1591,53,Entry-Level,Cybersecurity,595,0,0.295824816,Leadership
1592,45,Entry-Level,5G,411,2,0.992857989,5G
1593,43,Mid-Career,5G,278,1,0.769688085,AI/ML
1594,20,Senior,Cybersecurity,86,4,0.087838544,Cybersecurity
1595,26,Entry-Level,Cybersecurity,501,2,0.673514,AI/ML
1596,24,Mid-Career,Cybersecurity,515,2,0.202632066,AI/ML
1597,33,Mid-Career,5G,46,3,0.67886211,Leadership
1598,40,Mid-Career,AI/ML,4,1,0.888927312,Cybersecurity
1599,56,Senior,AI/ML,169,3,0.335457798,5G
1600,25,Entry-Level,Cybersecurity,228,3,0.012475656,5G
1601,21,Senior,5G,374,1,0.56547754,Leadership
1602,33,Mid-Career,Leadership,60,3,0.211792131,Cybersecurity
1603,57,Mid-Career,5G,575,1,0.873211042,Cybersecurity
1604,59,Entry-Level,5G,476,4,0.565134798,Cybersecurity
1605,55,Entry-Level,AI/ML,570,1,0.318760379,5G
1606,18,Senior,5G,2,3,0.492648244,AI/ML
1607,33,Entry-Level,AI/ML,137,3,0.106569142,Cybersecurity
1608,21,Mid-Career,AI/ML,166,0,0.566529644,Cybersecurity
1609,46,Mid-Career,Cybersecurity,228,0,0.57387394,Leadership
1610,27,Entry-Level,5G,199,2,0.917481338,Leadership
1611,40,Senior,Cybersecurity,471,3,0.987475332,5G
1612,55,Mid-Career,5G,47,2,0.094781804,Leadership
1613,46,Entry-Level,Cybersecurity,365,0,0.94221488,5G
1614,56,Senior,Leadership,557,1,0.336730828,Leadership
1615,25,Mid-Career,AI/ML,66,2,0.655690133,Cybersecurity
1616,30,Entry-Level,Leadership,412,1,0.612389727,Leadership
1617,49,Senior,AI/ML,289,3,0.78346801,Cybersecurity
1618,57,Senior,5G,195,1,0.942826308,5G
1619,18,Entry-Level,5G,306,1,0.643810242,Cybersecurity
1620,40,Mid-Career,Cybersecurity,443,0,0.082106106,Cybersecurity
1621,31,Mid-Career,Leadership,131,0,0.218141017,Leadership
1622,36,Entry-Level,Cybersecurity,378,3,0.847867315,5G
1623,26,Senior,AI/ML,21,1,0.253640225,5G
1624,48,Senior,Leadership,493,1,0.094153247,AI/ML
1625,53,Entry-Level,Leadership,56,1,0.210952738,Cybersecurity
1626,47,Senior,Cybersecurity,59,2,0.485950379,Cybersecurity
1627,27,Mid-Career,Cybersecurity,342,3,0.670578519,Cybersecurity
1628,41,Entry-Level,Leadership,527,3,0.614648651,Cybersecurity
1629,23,Entry-Level,Cybersecurity,403,4,0.170448719,5G
1630,42,Senior,Cybersecurity,462,3,0.011575115,AI/ML
1631,54,Entry-Level,Cybersecurity,421,0,0.812549342,AI/ML
1632,22,Entry-Level,Leadership,370,1,0.676578844,5G
1633,28,Senior,AI/ML,137,4,0.325047002,AI/ML
1634,40,Entry-Level,Leadership,197,4,0.552086813,Leadership
1635,43,Entry-Level,Cybersecurity,498,3,0.843235831,AI/ML
1636,54,Mid-Career,AI/ML,123,2,0.765433484,AI/ML
1637,18,Mid-Career,Leadership,423,4,0.601644812,Cybersecurity
1638,22,Senior,Cybersecurity,0,3,0.512243029,Leadership
1639,30,Mid-Career,5G,578,1,0.260528221,AI/ML
1640,58,Entry-Level,5G,167,1,0.513145484,5G
1641,33,Entry-Level,Leadership,510,1,0.231907132,Cybersecurity
1642,31,Senior,5G,191,3,0.600238626,5G
1643,51,Entry-Level,AI/ML,471,3,0.506706843,5G
1644,26,Entry-Level,5G,183,2,0.331437481,Cybersecurity
1645,28,Entry-Level,Leadership,435,3,0.705301272,Cybersecurity
1646,21,Entry-Level,Leadership,21,1,0.773148522,5G
1647,35,Mid-Career,Cybersecurity,557,0,0.781101896,AI/ML
1648,51,Mid-Career,Leadership,144,2,0.796708055,Leadership
1649,53,Mid-Career,AI/ML,379,4,0.458150836,Cybersecurity
1650,55,Senior,Cybersecurity,506,0,0.246583908,Cybersecurity
1651,32,Senior,Cybersecurity,393,2,0.387087478,Leadership
1652,47,Senior,5G,122,2,0.525344689,Cybersecurity
1653,28,Entry-Level,5G,474,0,0.177499691,Leadership
1654,45,Entry-Level,5G,245,1,0.660994269,AI/ML
1655,59,Mid-Career,5G,397,1,0.194716982,AI/ML
1656,48,Mid-Career,5G,447,0,0.134860679,Leadership
1657,28,Senior,5G,340,1,0.21482924,Cybersecurity
1658,48,Senior,5G,363,2,0.05404285,Cybersecurity
1659,33,Mid-Career,AI/ML,40,1,0.865027727,5G
1660,37,Mid-Career,AI/ML,546,2,0.888278985,Cybersecurity
1661,33,Mid-Career,5G,473,1,0.130822031,5G
1662,24,Entry-Level,Cybersecurity,12,1,0.269870388,Leadership
1663,20,Senior,5G,204,2,0.792344376,5G
1664,50,Mid-Career,Cybersecurity,280,0,0.736700924,Leadership
1665,18,Entry-Level,AI/ML,411,4,0.201718932,AI/ML
1666,30,Mid-Career,5G,207,2,0.525404108,5G
1667,41,Mid-Career,Cybersecurity,362,1,0.314369042,Cybersecurity
1668,48,Senior,5G,230,3,0.68458689,5G
1669,40,Senior,AI/ML,518,3,0.274071947,Leadership
1670,34,Senior,AI/ML,8,1,0.857062412,Cybersecurity
1671,42,Mid-Career,5G,535,1,0.003064897,Cybersecurity
1672,50,Entry-Level,Cybersecurity,22,4,0.581103678,5G
1673,44,Senior,Cybersecurity,449,1,0.835241101,5G
1674,21,Senior,5G,164,2,0.256031136,AI/ML
1675,58,Senior,5G,268,2,0.661049289,Leadership
1676,26,Senior,5G,408,0,0.324973516,Leadership
1677,25,Mid-Career,5G,398,0,0.629140656,Cybersecurity
1678,44,Entry-Level,Leadership,134,0,0.821290826,Leadership
1679,31,Mid-Career,5G,106,0,0.219746588,5G
1680,18,Mid-Career,Cybersecurity,369,4,0.290145806,Cybersecurity
1681,34,Entry-Level,Leadership,531,4,0.879084143,AI/ML
1682,44,Senior,Cybersecurity,242,4,0.14438988,Leadership
1683,47,Senior,Cybersecurity,324,4,0.049058707,Leadership
1684,43,Entry-Level,Cybersecurity,156,1,0.322180325,AI/ML
1685,24,Mid-Career,5G,25,3,0.099485533,Cybersecurity
1686,46,Senior,Cybersecurity,408,3,0.575203676,Leadership
1687,53,Senior,Leadership,59,3,0.977228512,Cybersecurity
1688,37,Entry-Level,Leadership,405,2,0.410300416,AI/ML
1689,51,Entry-Level,AI/ML,296,4,0.964973665,Cybersecurity
1690,39,Entry-Level,AI/ML,208,4,0.379211974,Leadership
1691,22,Mid-Career,Leadership,82,2,0.362429436,Cybersecurity
1692,20,Entry-Level,AI/ML,348,1,0.031600207,5G
1693,18,Mid-Career,Leadership,495,4,0.698392349,5G
1694,57,Senior,Cybersecurity,509,2,0.784005902,AI/ML
1695,48,Mid-Career,5G,328,0,0.505237496,5G
1696,36,Mid-Career,Cybersecurity,469,3,0.495899575,Leadership
1697,47,Mid-Career,5G,235,1,0.76046829,AI/ML
1698,55,Entry-Level,AI/ML,86,4,0.77623094,Leadership
1699,21,Mid-Career,Cybersecurity,360,3,0.592982388,AI/ML
1700,21,Entry-Level,Leadership,466,0,0.186062127,5G
1701,39,Entry-Level,AI/ML,426,3,0.692638292,Leadership
1702,26,Senior,Cybersecurity,195,4,0.225597495,AI/ML
1703,34,Senior,5G,491,3,0.190965135,Cybersecurity
1704,58,Entry-Level,Cybersecurity,40,4,0.327225215,5G
1705,19,Entry-Level,AI/ML,87,2,0.926623611,Leadership
1706,38,Mid-Career,5G,363,2,0.425651966,5G
1707,44,Mid-Career,Leadership,366,2,0.517684368,5G
1708,55,Mid-Career,Leadership,490,4,0.964665273,Leadership
1709,30,Entry-Level,Cybersecurity,189,1,0.691667184,AI/ML
1710,57,Mid-Career,Leadership,84,0,0.056355291,Leadership
1711,33,Senior,AI/ML,198,3,0.739228076,AI/ML
1712,39,Entry-Level,5G,599,2,0.87530274,5G
1713,36,Entry-Level,Leadership,327,4,0.086704107,Leadership
1714,53,Mid-Career,AI/ML,509,4,0.614882485,5G
1715,58,Senior,Leadership,36,1,0.281370758,5G
1716,36,Senior,AI/ML,237,1,0.39966551,Cybersecurity
1717,59,Mid-Career,Leadership,277,0,0.806665308,5G
1718,31,Mid-Career,AI/ML,337,1,0.206232364,Leadership
1719,36,Mid-Career,Cybersecurity,163,4,0.220615193,Leadership
1720,45,Senior,Leadership,301,4,0.610346041,5G
1721,58,Mid-Career,AI/ML,114,0,0.616063062,Cybersecurity
1722,53,Mid-Career,Leadership,137,0,0.433207925,5G
1723,59,Entry-Level,Leadership,156,3,0.243199278,AI/ML
1724,38,Mid-Career,Leadership,477,2,0.915957451,Leadership
1725,24,Mid-Career,5G,32,4,0.958232437,5G
1726,45,Entry-Level,AI/ML,159,3,0.159110588,Leadership
1727,47,Entry-Level,5G,519,4,0.647237797,Leadership
1728,27,Senior,AI/ML,21,4,0.648415028,AI/ML
1729,21,Entry-Level,AI/ML,380,3,0.529683717,5G
1730,21,Senior,5G,9,4,0.305084142,5G
1731,43,Mid-Career,Leadership,417,1,0.663676195,Cybersecurity
1732,35,Senior,AI/ML,236,0,0.04827421,AI/ML
1733,41,Senior,Leadership,332,0,0.894975922,Leadership
1734,20,Senior,Cybersecurity,111,2,0.576564951,5G
1735,23,Entry-Level,5G,54,3,0.435312002,AI/ML
1736,23,Entry-Level,AI/ML,335,4,0.87170282,Leadership
1737,21,Mid-Career,AI/ML,319,3,0.426195233,5G
1738,46,Entry-Level,Leadership,54,1,0.727149024,Cybersecurity
1739,19,Mid-Career,Cybersecurity,320,1,0.532839365,AI/ML
1740,48,Senior,Cybersecurity,316,3,0.386986707,5G
1741,45,Mid-Career,5G,522,0,0.233616918,Cybersecurity
1742,34,Senior,5G,28,3,0.382380717,Leadership
1743,18,Mid-Career,Leadership,193,3,0.233470025,AI/ML
1744,35,Senior,AI/ML,165,3,0.058785826,AI/ML
1745,28,Senior,AI/ML,57,3,0.793257456,Cybersecurity
1746,22,Mid-Career,AI/ML,578,1,0.418963275,AI/ML
1747,54,Senior,AI/ML,597,4,0.316494427,Leadership
1748,45,Mid-Career,AI/ML,410,0,0.696107562,AI/ML
1749,45,Mid-Career,5G,378,4,0.272867141,AI/ML
1750,29,Mid-Career,Cybersecurity,116,0,0.258802242,5G
1751,53,Mid-Career,5G,153,2,0.615177682,5G
1752,21,Senior,Leadership,506,3,0.089930071,Leadership
1753,21,Entry-Level,Leadership,129,0,0.743373286,AI/ML
1754,45,Mid-Career,Leadership,574,4,0.003842653,AI/ML
1755,39,Mid-Career,AI/ML,132,4,0.628288448,Leadership
1756,20,Entry-Level,AI/ML,311,3,0.965916099,AI/ML
1757,20,Mid-Career,Cybersecurity,390,1,0.891273143,5G
1758,30,Entry-Level,AI/ML,75,2,0.516097984,AI/ML
1759,40,Mid-Career,Leadership,228,4,0.722953371,Leadership
1760,59,Entry-Level,AI/ML,452,3,0.568773967,AI/ML
1761,51,Entry-Level,AI/ML,503,1,0.80100593,5G
1762,36,Entry-Level,Cybersecurity,196,3,0.560690777,5G
1763,55,Entry-Level,Cybersecurity,148,2,0.902346081,Leadership
1764,55,Senior,Leadership,190,3,0.271603513,AI/ML
1765,41,Entry-Level,5G,327,4,0.81111087,Cybersecurity
1766,47,Mid-Career,AI/ML,539,1,0.012885257,Leadership
1767,21,Mid-Career,5G,498,2,0.349411797,AI/ML
1768,44,Senior,5G,39,0,0.439966559,5G
1769,33,Mid-Career,5G,289,0,0.506242469,Cybersecurity
1770,37,Mid-Career,AI/ML,14,3,0.770144855,5G
1771,37,Senior,Leadership,92,1,0.324785815,Cybersecurity
1772,49,Mid-Career,AI/ML,404,4,0.468381821,5G
1773,32,Mid-Career,Cybersecurity,43,0,0.877448968,AI/ML
1774,57,Senior,Leadership,277,4,0.965056362,Leadership
1775,28,Senior,AI/ML,457,2,0.168362068,Leadership
1776,51,Senior,Leadership,23,4,0.011783557,Leadership
1777,51,Senior,Leadership,268,0,0.652279117,5G
1778,59,Senior,5G,392,2,0.878265019,5G
1779,19,Entry-Level,Cybersecurity,264,4,0.624749933,Cybersecurity
1780,53,Senior,5G,247,4,0.452409367,AI/ML
1781,25,Senior,AI/ML,425,3,0.78155752,Cybersecurity
1782,21,Mid-Career,Cybersecurity,434,4,0.679907571,5G
1783,20,Senior,Cybersecurity,584,3,0.789853871,AI/ML
1784,32,Senior,AI/ML,281,4,0.83786469,Cybersecurity
1785,21,Mid-Career,AI/ML,201,1,0.805558014,AI/ML
1786,55,Mid-Career,AI/ML,574,1,0.817090458,Cybersecurity
1787,47,Entry-Level,AI/ML,52,0,0.387775142,5G
1788,46,Senior,AI/ML,12,2,0.24655124,Leadership
1789,45,Mid-Career,AI/ML,295,2,0.607460759,Leadership
1790,59,Mid-Career,AI/ML,497,2,0.3136313,AI/ML
1791,37,Senior,Leadership,467,4,0.431385428,Leadership
1792,18,Senior,Cybersecurity,586,3,0.905696625,Leadership
1793,19,Senior,Leadership,359,4,0.390944167,Leadership
1794,42,Senior,5G,250,4,0.999686492,Cybersecurity
1795,47,Entry-Level,5G,308,0,0.908883555,5G
1796,39,Mid-Career,AI/ML,133,3,0.465040044,Leadership
1797,26,Mid-Career,5G,547,2,0.146994111,Cybersecurity
1798,26,Mid-Career,5G,500,3,0.863491588,Leadership
1799,21,Senior,Cybersecurity,317,3,0.853273386,5G
1800,55,Mid-Career,5G,342,1,0.476683545,5G
1801,34,Mid-Career,AI/ML,406,0,0.742941858,AI/ML
1802,27,Mid-Career,Leadership,317,2,0.372269472,Cybersecurity
1803,27,Entry-Level,AI/ML,500,1,0.626041112,AI/ML
1804,25,Entry-Level,5G,398,4,0.498164514,5G
1805,22,Mid-Career,Leadership,277,1,0.41018967,5G
1806,30,Senior,Cybersecurity,427,1,0.142095394,Cybersecurity
1807,39,Mid-Career,Leadership,588,4,0.250730977,5G
1808,32,Entry-Level,Leadership,523,1,0.473313244,Leadership
1809,25,Entry-Level,5G,439,4,0.369847088,Leadership
1810,43,Mid-Career,Leadership,4,3,0.528724217,5G
1811,57,Senior,AI/ML,485,2,0.473066409,5G
1812,19,Senior,AI/ML,119,2,0.611997353,5G
1813,31,Entry-Level,AI/ML,596,4,0.621269306,Leadership
1814,26,Entry-Level,Leadership,254,0,0.697298885,AI/ML
1815,59,Entry-Level,AI/ML,579,4,0.903345782,AI/ML
1816,32,Entry-Level,Leadership,50,0,0.778250618,5G
1817,45,Entry-Level,Leadership,178,2,0.139224753,Leadership
1818,49,Senior,5G,21,2,0.824471001,Cybersecurity
1819,46,Mid-Career,AI/ML,533,1,0.920363358,AI/ML
1820,26,Entry-Level,Cybersecurity,33,4,0.90835586,Leadership
1821,36,Senior,AI/ML,134,3,0.874608771,Cybersecurity
1822,22,Mid-Career,Cybersecurity,353,4,0.212551074,Cybersecurity
1823,50,Senior,Cybersecurity,217,3,0.480426768,5G
1824,53,Entry-Level,5G,340,2,0.26635537,Leadership
1825,25,Senior,Leadership,34,3,0.319581321,5G
1826,29,Senior,Cybersecurity,5,0,0.603008705,Cybersecurity
1827,36,Senior,AI/ML,277,1,0.57230287,AI/ML
1828,47,Senior,Cybersecurity,205,3,0.829475732,Leadership
1829,54,Senior,Leadership,305,2,0.306923447,Cybersecurity
1830,21,Entry-Level,Leadership,540,3,0.48001104,Leadership
1831,34,Mid-Career,AI/ML,212,1,0.314531789,Cybersecurity
1832,57,Mid-Career,Leadership,492,0,0.74589917,AI/ML
1833,20,Entry-Level,Cybersecurity,58,2,0.571943432,Cybersecurity
1834,25,Entry-Level,Cybersecurity,136,3,0.207143174,AI/ML
1835,46,Senior,Cybersecurity,303,4,0.896742286,AI/ML
1836,45,Mid-Career,AI/ML,381,3,0.445017889,5G
1837,33,Entry-Level,Cybersecurity,476,0,0.140457189,Cybersecurity
1838,29,Senior,Leadership,71,4,0.754890586,AI/ML
1839,52,Entry-Level,5G,31,0,0.438427072,Cybersecurity
1840,50,Senior,5G,13,4,0.652121419,Cybersecurity
1841,26,Senior,Cybersecurity,374,1,0.43162549,Cybersecurity
1842,28,Senior,AI/ML,171,2,0.642736346,AI/ML
1843,32,Senior,5G,372,1,0.325505697,AI/ML
1844,35,Mid-Career,Cybersecurity,394,0,0.655274986,Leadership
1845,38,Mid-Career,5G,442,0,0.61659291,5G
1846,36,Senior,Cybersecurity,68,4,0.013869978,5G
1847,25,Senior,5G,317,2,0.233904293,AI/ML
1848,59,Senior,Leadership,170,3,0.874221642,AI/ML
1849,47,Entry-Level,Leadership,396,0,0.219799902,5G
1850,55,Entry-Level,5G,496,4,0.835161406,Cybersecurity
1851,51,Mid-Career,5G,279,3,0.341044189,Leadership
1852,27,Senior,AI/ML,286,1,0.192014453,AI/ML
1853,40,Senior,5G,434,1,0.618373087,Leadership
1854,57,Mid-Career,Leadership,129,2,0.005896667,AI/ML
1855,20,Senior,5G,206,1,0.054407325,Leadership
1856,48,Senior,5G,105,1,0.309731737,AI/ML
1857,53,Entry-Level,Cybersecurity,147,0,0.164920063,Cybersecurity
1858,34,Entry-Level,5G,570,2,0.238778856,5G
1859,59,Mid-Career,Leadership,140,3,0.319980121,5G
1860,57,Mid-Career,AI/ML,439,2,0.708652094,5G
1861,52,Senior,Cybersecurity,538,2,0.333974988,5G
1862,41,Mid-Career,Cybersecurity,405,0,0.206540506,5G
1863,32,Senior,5G,221,2,0.104307701,Cybersecurity
1864,47,Entry-Level,5G,523,4,0.674595161,Cybersecurity
1865,33,Entry-Level,Leadership,491,0,0.581003255,Cybersecurity
1866,57,Senior,Cybersecurity,594,1,0.777659238,Cybersecurity
1867,38,Senior,AI/ML,90,1,0.773243126,AI/ML
1868,50,Mid-Career,AI/ML,272,1,0.248655156,AI/ML
1869,41,Mid-Career,Cybersecurity,133,4,0.574031596,AI/ML
1870,47,Mid-Career,Cybersecurity,11,2,0.313573027,Cybersecurity
1871,50,Senior,Cybersecurity,496,4,0.853045494,AI/ML
1872,39,Senior,5G,473,2,0.734988377,AI/ML
1873,57,Mid-Career,5G,355,2,0.01813021,5G
1874,36,Mid-Career,Cybersecurity,250,1,0.074765424,5G
1875,23,Senior,Leadership,496,2,0.428947318,AI/ML
1876,29,Entry-Level,5G,189,1,0.709812483,5G
1877,25,Mid-Career,AI/ML,57,4,0.770958703,5G
1878,37,Entry-Level,Cybersecurity,459,0,0.178303023,Cybersecurity
1879,47,Entry-Level,Leadership,100,1,0.069786797,Cybersecurity
1880,41,Senior,Leadership,112,4,0.272843589,Cybersecurity
1881,41,Senior,5G,533,3,0.982815484,5G
1882,50,Senior,Cybersecurity,523,1,0.058584527,Cybersecurity
1883,21,Mid-Career,5G,231,4,0.261700539,AI/ML
1884,52,Mid-Career,Leadership,556,0,0.80666745,Leadership
1885,57,Mid-Career,Leadership,308,0,0.745326668,AI/ML
1886,55,Mid-Career,5G,451,0,0.848375386,5G
1887,40,Senior,Leadership,254,2,0.544065357,Leadership
1888,43,Mid-Career,AI/ML,573,4,0.746407027,5G
1889,49,Senior,5G,503,1,0.308914399,AI/ML
1890,43,Mid-Career,AI/ML,525,0,0.071218883,AI/ML
1891,24,Mid-Career,AI/ML,273,1,0.527391385,5G
1892,49,Mid-Career,Leadership,365,3,0.929038187,Cybersecurity
1893,19,Entry-Level,AI/ML,199,1,0.536176293,Cybersecurity
1894,58,Entry-Level,Cybersecurity,465,3,0.366546622,AI/ML
1895,59,Mid-Career,5G,404,0,0.514055555,5G
1896,36,Senior,5G,366,4,0.812342098,5G
1897,19,Mid-Career,Leadership,131,4,0.464615034,Cybersecurity
1898,30,Entry-Level,AI/ML,379,0,0.273277047,5G
1899,29,Senior,5G,544,4,0.789194145,Leadership
1900,36,Entry-Level,5G,208,0,0.210855211,Leadership
1901,33,Senior,Leadership,107,2,0.017909248,AI/ML
1902,44,Mid-Career,5G,404,2,0.15232276,Leadership
1903,28,Mid-Career,5G,152,3,0.009751289,Leadership
1904,27,Entry-Level,Leadership,532,0,0.328163081,Cybersecurity
1905,25,Entry-Level,Cybersecurity,420,3,0.758808946,AI/ML
1906,56,Entry-Level,Leadership,302,3,0.986098611,Leadership
1907,28,Entry-Level,Cybersecurity,599,0,0.461488248,AI/ML
1908,28,Mid-Career,5G,43,4,0.806679246,Leadership
1909,19,Mid-Career,5G,447,4,0.281871529,AI/ML
1910,21,Mid-Career,Cybersecurity,261,3,0.642157449,AI/ML
1911,43,Entry-Level,Leadership,111,3,0.805941916,AI/ML
1912,55,Senior,Leadership,253,2,0.415130177,Leadership
1913,56,Senior,Leadership,523,3,0.986503341,AI/ML
1914,42,Mid-Career,Leadership,548,1,0.96323533,5G
1915,42,Mid-Career,Cybersecurity,581,1,0.91294574,Cybersecurity
1916,54,Mid-Career,Leadership,133,0,0.306199186,Cybersecurity
1917,26,Mid-Career,Leadership,552,4,0.081393145,Leadership
1918,39,Mid-Career,Cybersecurity,185,3,0.740867759,Leadership
1919,23,Entry-Level,Leadership,494,4,0.985327629,Leadership
1920,53,Mid-Career,Cybersecurity,455,0,0.088536669,Leadership
1921,44,Senior,Cybersecurity,16,2,0.131965777,Cybersecurity
1922,24,Entry-Level,Cybersecurity,512,0,0.005904861,5G
1923,56,Senior,Cybersecurity,49,3,0.610150652,Leadership
1924,49,Senior,Cybersecurity,418,0,0.00721981,AI/ML
1925,37,Mid-Career,AI/ML,141,0,0.083284144,5G
1926,30,Mid-Career,AI/ML,3,3,0.437684444,5G
1927,46,Mid-Career,Leadership,143,3,0.829128948,Cybersecurity
1928,28,Entry-Level,AI/ML,108,4,0.300278657,AI/ML
1929,34,Senior,5G,136,0,0.169928036,AI/ML
1930,36,Senior,Leadership,577,2,0.864658724,AI/ML
1931,42,Entry-Level,Leadership,360,0,0.94067669,Leadership
1932,36,Senior,AI/ML,335,2,0.806660429,Cybersecurity
1933,27,Entry-Level,5G,451,1,0.717597808,AI/ML
1934,36,Senior,AI/ML,457,3,0.536681631,5G
1935,55,Mid-Career,Leadership,529,2,0.746738604,Cybersecurity
1936,56,Senior,Cybersecurity,1,1,0.650586592,5G
1937,41,Entry-Level,Leadership,55,2,0.317874712,5G
1938,45,Entry-Level,AI/ML,424,2,0.749898283,AI/ML
1939,38,Mid-Career,AI/ML,139,0,0.91088903,5G
1940,47,Mid-Career,Cybersecurity,248,0,0.473572632,5G
1941,47,Mid-Career,Cybersecurity,505,0,0.759283757,Cybersecurity
1942,30,Senior,AI/ML,235,3,0.487116427,Leadership
1943,49,Senior,Cybersecurity,26,0,0.348013663,Leadership
1944,20,Entry-Level,Leadership,420,0,0.247161677,5G
1945,19,Senior,Leadership,229,4,0.739968762,Leadership
1946,38,Entry-Level,AI/ML,60,1,0.069189588,5G
1947,36,Entry-Level,5G,136,2,0.330643707,AI/ML
1948,55,Entry-Level,Leadership,334,0,0.733529599,Cybersecurity
1949,58,Senior,AI/ML,136,4,0.423736889,Leadership
1950,43,Entry-Level,5G,105,1,0.163554043,Cybersecurity
1951,26,Senior,5G,339,2,0.480262137,AI/ML
1952,18,Entry-Level,AI/ML,540,0,0.814101876,Cybersecurity
1953,44,Entry-Level,AI/ML,197,2,0.755089123,Cybersecurity
1954,59,Senior,Cybersecurity,417,0,0.443180187,Leadership
1955,47,Senior,5G,483,3,0.506474862,AI/ML
1956,41,Mid-Career,Leadership,424,3,0.724690032,Cybersecurity
1957,55,Senior,Cybersecurity,530,1,0.824048519,5G
1958,31,Entry-Level,5G,22,1,0.108870591,Cybersecurity
1959,25,Senior,5G,177,4,0.871103997,Cybersecurity
1960,46,Entry-Level,Cybersecurity,257,4,0.596572828,Cybersecurity
1961,35,Mid-Career,5G,336,0,0.239905843,AI/ML
1962,37,Senior,Leadership,28,1,0.141526775,Cybersecurity
1963,53,Entry-Level,Leadership,446,3,0.929381415,AI/ML
1964,39,Senior,Cybersecurity,517,4,0.059246703,AI/ML
1965,23,Senior,5G,270,2,0.086302414,Cybersecurity
1966,38,Senior,Leadership,455,2,0.204980242,Cybersecurity
1967,18,Entry-Level,5G,330,1,0.987446851,Leadership
1968,49,Mid-Career,Cybersecurity,122,4,0.763162984,AI/ML
1969,42,Mid-Career,Leadership,89,0,0.644183553,AI/ML
1970,26,Senior,Leadership,323,2,0.813192051,Leadership
1971,58,Entry-Level,Cybersecurity,468,0,0.06897856,Cybersecurity
1972,41,Senior,5G,389,3,0.379342482,5G
1973,53,Entry-Level,Cybersecurity,557,4,0.234203596,AI/ML
1974,47,Senior,Leadership,52,3,0.733227683,AI/ML
1975,51,Mid-Career,Cybersecurity,546,2,0.365080568,5G
1976,52,Senior,5G,105,0,0.066859553,AI/ML
1977,34,Entry-Level,Leadership,301,4,0.476949035,AI/ML
1978,35,Senior,5G,508,1,0.677987223,5G
1979,34,Mid-Career,Cybersecurity,160,1,0.301630832,Leadership
1980,51,Mid-Career,AI/ML,59,4,0.286865282,AI/ML
1981,36,Mid-Career,Cybersecurity,538,3,0.606375461,Cybersecurity
1982,20,Entry-Level,AI/ML,245,3,0.624607182,Leadership
1983,25,Senior,AI/ML,540,3,0.599264297,Cybersecurity
1984,40,Mid-Career,Cybersecurity,103,3,0.146230196,5G
1985,41,Senior,Leadership,276,0,0.567545673,AI/ML
1986,50,Entry-Level,AI/ML,3,0,0.383704332,AI/ML
1987,51,Senior,Cybersecurity,400,3,0.440745815,5G
1988,22,Entry-Level,AI/ML,121,0,0.009376874,5G
1989,48,Mid-Career,AI/ML,244,2,0.166122972,5G
1990,58,Mid-Career,5G,223,2,0.730686792,Leadership
1991,55,Entry-Level,5G,174,3,0.000517173,AI/ML
1992,57,Entry-Level,Leadership,492,4,0.978539869,Leadership
